x,y,z,t1,t2,t3,t4
-0.10710061,0.35391423,0.00020518899,1.5665075,0.8097526,0.24979481,1.0410898
0.34789705,0.18887903,0.21095917,0.38612276,0.29739904,0.03904084,0.7841356
0.07618358,0.37871128,0.16304067,1.1703942,0.5426384,0.08695934,0.8348602
0.049356613,0.23871158,0.14751792,0.7500698,1.9188575,0.10248209,0.6585398
-0.063035674,0.09450239,0.20112953,1.786601,2.8623967,0.04887049,0.7975547
0.05109029,0.086151674,0.23385158,0.99153733,3.1122289,0.016148409,0.53442127
-0.37749723,-0.07317673,0.09699319,3.1186354,0.57696927,0.1530068,0.7628033
-0.0352489,0.3309586,0.043747127,1.2398971,1.2199625,0.20625287,0.7979114
0.365957,0.10524872,0.16090804,0.04144613,0.64346075,0.08909196,0.9171399
0.078470975,0.06437061,0.14672753,0.5542811,3.0519311,0.103272475,0.73838896
-0.1705114,-0.051730596,0.018225566,2.8016064,2.3602908,0.23177443,0.9368346
0.1068567,0.371947,0.12892836,1.0942892,0.5286163,0.12107163,1.0020732
0.18599477,0.35343796,0.07080859,1.043606,0.114087015,0.17919141,1.0402524
0.13452339,0.37307304,0.22884718,1.1236169,0.27014,0.021152839,0.85100496
-0.06213943,0.366859,0.09574418,1.4518561,0.7775642,0.15425582,0.8848188
-0.11987488,-0.014472817,0.13796204,2.8200805,2.7903347,0.11203795,0.5545521
0.097307906,0.030621048,0.066953376,0.15138848,3.0374327,0.18304662,0.8995185
0.095101684,0.03823039,0.0063188225,0.21171033,3.0253785,0.24368118,1.0217664
0.2935041,0.20186737,0.20253167,0.2456961,0.97809815,0.047468342,1.0333133
0.12954962,0.34279743,0.057130456,0.8958566,0.85364217,0.19286954,0.6642918
0.082750805,0.29736325,0.13153434,0.7971444,1.4333965,0.118465655,0.5814621
-0.36389193,-0.022163244,0.07743421,2.880319,0.87788403,0.17256579,1.0131071
-0.25716877,0.04818582,0.017897159,2.362975,1.7931895,0.23210284,0.82059085
0.05730449,0.08358139,0.09159833,0.844057,3.056769,0.15840167,0.5299655
0.100068465,0.37520057,0.014789641,1.1236039,0.50082093,0.23521036,0.74216306
0.24155653,0.18451098,0.044638455,0.13897638,1.4720509,0.20536155,0.8534138
-0.23921318,0.12990165,0.07526176,2.0674891,1.7166812,0.17473824,0.72161025
0.22107823,0.33276165,0.21040043,0.9459332,0.102559686,0.039599568,0.8988627
0.086150646,0.24661508,0.08169702,0.64070684,1.796153,0.16830298,0.8039346
0.08003368,0.061408527,0.18977994,0.5523709,3.0729935,0.060220063,1.0007284
0.24570422,0.22868937,0.05472374,0.32121488,1.1929437,0.19527626,0.678432
-0.38790107,0.026707262,0.2207726,2.8903327,0.48984265,0.029227419,0.6673478
-0.04343765,0.0932387,0.17728812,1.8247162,3.0171163,0.072711885,0.87902504
-0.015402033,0.33139104,0.0317636,1.1769867,1.2301499,0.2182364,0.5825074
-0.030541256,0.09693071,0.13648948,1.7376359,3.0479877,0.113510534,0.9886692
0.0097089885,0.11574979,0.23607963,1.0870589,2.835228,0.013920359,0.7476667
-0.07783655,0.20588578,0.07292071,1.2948916,2.0798678,0.17707929,0.98641217
